# of Solutions,avg. Solution Length,Time (micro-seconds),Median Solution Length, Median Set Value,Sum of Set,Target Value,SpecificSolutionLength,SpecificSolutionMedian,Occurence
0,0.0000,78,0,286,0,0,0,0,
0,0.0000,73,0,528,0,0,0,0,
0,0.0000,113,0,304,0,0,0,0,
0,0.0000,150,0,728,0,0,0,0,
0,0.0000,168,0,733,0,0,0,0,
0,0.0000,142,0,577,0,0,0,0,
0,0.0000,185,0,409,0,0,0,0,
0,0.0000,201,0,542,0,0,0,0,
0,0.0000,88,0,407,0,0,11,407,
0,0.0000,37,0,341,0,0,11,350,
0,0.0000,250,0,509,0,0,0,0,
0,0.0000,273,0,513,0,0,0,0,
0,0.0000,145,0,383,0,0,11,606,
0,0.0000,271,0,478,0,0,0,0,
0,0.0000,489,0,656,0,0,0,0,
0,0.0000,517,0,315,0,0,12,139,
0,0.0000,176,0,457,0,0,12,457,
0,0.0000,523,0,710,0,0,0,0,
0,0.0000,598,0,311,0,0,0,0,
0,0.0000,517,0,669,0,0,0,0,
0,0.0000,1007,0,446,0,0,0,0,
0,0.0000,569,0,352,0,0,13,262,
0,0.0000,549,0,301,0,0,13,123,
0,0.0000,234,0,328,0,0,13,393,
0,0.0000,1153,0,569,0,0,0,0,
0,0.0000,423,0,358,0,0,13,358,
0,0.0000,1839,0,663,0,0,0,0,
0,0.0000,293,0,360,0,0,14,490,
0,0.0000,2262,0,583,0,0,0,0,
0,0.0000,1810,0,679,0,0,0,0,
0,0.0000,649,0,548,0,0,14,364,
0,0.0000,255,0,426,0,0,14,269,
0,0.0000,15,0,656,0,0,15,199,
0,0.0000,539,0,488,0,0,15,409,
0,0.0000,729,0,482,0,0,15,341,
0,0.0000,20,0,585,0,0,15,408,
0,0.0000,3414,0,365,0,0,15,279,
0,0.0000,215,0,481,0,0,15,361,
0,0.0000,74,0,473,0,0,16,351,
0,0.0000,5750,0,405,0,0,16,278,
0,0.0000,758,0,573,0,0,16,287,
0,0.0000,459,0,268,0,0,16,448,
0,0.0000,1369,0,658,0,0,16,294,
0,0.0000,101,0,567,0,0,16,324,
0,0.0000,986,0,164,0,0,17,108,
0,0.0000,18429,0,706,0,0,0,0,
0,0.0000,982,0,408,0,0,17,408,
0,0.0000,223,0,568,0,0,17,612,
0,0.0000,414,0,414,0,0,17,178,
0,0.0000,288,0,478,0,0,17,345,
0,0.0000,735,0,549,0,0,18,389,
0,0.0000,656,0,664,0,0,18,657,
0,0.0000,466,0,301,0,0,18,267,
0,0.0000,3304,0,378,0,0,18,344,
0,0.0000,365,0,554,0,0,18,378,
0,0.0000,69,0,663,0,0,18,343,
0,0.0000,846,0,510,0,0,19,424,
0,0.0000,145,0,436,0,0,19,374,
0,0.0000,505,0,357,0,0,19,145,
0,0.0000,70,0,473,0,0,19,453,
0,0.0000,161,0,444,0,0,19,430,
0,0.0000,339,0,311,0,0,19,287,
0,0.0000,87,0,566,0,0,20,325,
0,0.0000,1976,0,635,0,0,20,157,
0,0.0000,2797,0,568,0,0,20,201,
0,0.0000,554,0,498,0,0,20,432,
0,0.0000,112,0,567,0,0,20,219,
0,0.0000,452,0,688,0,0,20,170,
0,0.0000,379,0,556,0,0,21,383,
0,0.0000,359,0,488,0,0,21,427,
0,0.0000,562,0,388,0,0,21,293,
0,0.0000,13,0,893,0,0,0,0,
0,0.0000,39,0,353,0,0,0,0,
0,0.0000,29,0,375,0,0,0,0,
0,0.0000,30,0,372,0,0,0,0,
0,0.0000,14,0,144,0,0,0,0,
0,0.0000,21,0,500,0,0,0,0,
0,0.0000,97,0,555,0,0,0,0,
0,0.0000,23,0,694,0,0,0,0,
0,0.0000,26,0,678,0,0,0,0,
0,0.0000,53,0,845,0,0,0,0,
0,0.0000,33,0,645,0,0,0,0,
0,0.0000,34,0,365,0,0,0,0,
0,0.0000,31,0,488,0,0,0,0,
0,0.0000,37,0,236,0,0,0,0,
0,0.0000,38,0,332,0,0,0,0,
0,0.0000,37,0,686,0,0,0,0,
0,0.0000,47,0,512,0,0,0,0,
0,0.0000,16,0,422,0,0,7,363,
0,0.0000,50,0,369,0,0,0,0,
0,0.0000,51,0,500,0,0,0,0,
0,0.0000,35,0,274,0,0,0,0,
0,0.0000,63,0,620,0,0,0,0,
0,0.0000,60,0,413,0,0,0,0,
0,0.0000,37,0,598,0,0,0,0,
0,0.0000,72,0,468,0,0,0,0,
0,0.0000,74,0,195,0,0,0,0,
0,0.0000,77,0,348,0,0,0,0,
0,0.0000,77,0,435,0,0,0,0,
0,0.0000,72,0,394,0,0,0,0,
0,0.0000,113,0,286,0,0,0,0,
0,0.0000,79,0,528,0,0,0,0,
0,0.0000,161,0,304,0,0,0,0,
0,0.0000,112,0,728,0,0,0,0,
0,0.0000,180,0,733,0,0,0,0,
0,0.0000,198,0,577,0,0,0,0,
0,0.0000,177,0,409,0,0,0,0,
0,0.0000,168,0,542,0,0,0,0,
0,0.0000,171,0,407,0,0,11,809,
0,0.0000,344,0,341,0,0,0,0,
0,0.0000,326,0,509,0,0,0,0,
0,0.0000,110,0,513,0,0,11,651,
0,0.0000,315,0,383,0,0,0,0,
0,0.0000,254,0,478,0,0,0,0,
0,0.0000,42,0,656,0,0,12,428,
0,0.0000,311,0,315,0,0,12,439,
0,0.0000,502,0,457,0,0,0,0,
0,0.0000,527,0,710,0,0,0,0,
0,0.0000,714,0,311,0,0,0,0,
0,0.0000,763,0,669,0,0,0,0,
0,0.0000,87,0,446,0,0,13,455,
0,0.0000,1353,0,352,0,0,0,0,
0,0.0000,205,0,301,0,0,13,201,
0,0.0000,523,0,328,0,0,13,584,
0,0.0000,398,0,569,0,0,13,517,
0,0.0000,36,0,358,0,0,13,324,
0,0.0000,415,0,663,0,0,14,387,
0,0.0000,1846,0,360,0,0,0,0,
0,0.0000,60,0,583,0,0,14,283,
0,0.0000,103,0,679,0,0,14,327,
0,0.0000,232,0,548,0,0,14,652,
0,0.0000,1368,0,426,0,0,14,297,
0,0.0000,73,0,656,0,0,15,656,
0,0.0000,293,0,488,0,0,15,409,
0,0.0000,510,0,482,0,0,15,236,
0,0.0000,58,0,585,0,0,15,408,
0,0.0000,405,0,365,0,0,15,306,
0,0.0000,116,0,481,0,0,15,223,
0,0.0000,588,0,473,0,0,16,319,
0,0.0000,224,0,405,0,0,16,340,
0,0.0000,240,0,573,0,0,16,148,
0,0.0000,636,0,268,0,0,16,268,
0,0.0000,1068,0,658,0,0,16,683,
0,0.0000,744,0,567,0,0,16,330,
0,0.0000,1505,0,164,0,0,17,284,
0,0.0000,72,0,706,0,0,17,350,
0,0.0000,676,0,408,0,0,17,283,
0,0.0000,272,0,568,0,0,17,582,
0,0.0000,660,0,414,0,0,17,135,
0,0.0000,551,0,478,0,0,17,523,
0,0.0000,163,0,549,0,0,18,341,
0,0.0000,69,0,664,0,0,18,225,
0,0.0000,461,0,301,0,0,18,244,
0,0.0000,2337,0,378,0,0,18,278,
0,0.0000,20217,0,554,0,0,18,627,
0,0.0000,1862,0,663,0,0,18,343,
0,0.0000,214,0,510,0,0,19,408,
0,0.0000,246,0,436,0,0,19,302,
0,0.0000,660,0,357,0,0,19,257,
0,0.0000,135,0,473,0,0,19,278,
0,0.0000,197,0,444,0,0,19,430,
0,0.0000,479,0,311,0,0,19,207,
0,0.0000,178,0,566,0,0,20,460,
0,0.0000,992,0,635,0,0,20,354,
0,0.0000,10835,0,568,0,0,20,623,
0,0.0000,630,0,498,0,0,20,370,
0,0.0000,607,0,567,0,0,20,319,
0,0.0000,247,0,688,0,0,20,170,
0,0.0000,522,0,556,0,0,21,456,
0,0.0000,152,0,488,0,0,21,427,
0,0.0000,524,0,388,0,0,21,215,
0,0.0000,47,0,893,0,0,0,0,
0,0.0000,27,0,353,0,0,0,0,
0,0.0000,15,0,375,0,0,0,0,
0,0.0000,15,0,372,0,0,0,0,
0,0.0000,22,0,144,0,0,0,0,
0,0.0000,24,0,500,0,0,0,0,
0,0.0000,27,0,555,0,0,0,0,
